Impulse duration (us),Pulse amplitude (uA),Frequency of firing (Hz)
0,0,5.9
100,1,5.28
100,1,5.59
100,1,5.22
100,1,10.75
100,1,5.72
100,1,7.56
100,1,4.84
100,1,9.03
100,1,5.13
100,1,4.97
200,1,5.44
200,1,5.38
200,1,7.19
200,1,5.38
200,1,5.13
200,1,5.28
200,1,5.13
200,1,13
200,1,4.34
200,1,5.28
300,1,5.94
300,1,4.75
300,1,6.63
300,1,6.03
300,1,11.41
300,1,4.94
300,1,5.28
300,1,5.84
300,1,4.91
300,1,5.59
400,1,9.41
400,1,13.19
400,1,5.34
400,1,6.56
400,1,5.97
400,1,7.59
400,1,5.88
400,1,5.66
400,1,6
400,1,5.5
500,1,6.03
500,1,4.63
500,1,5.88
500,1,5.25
500,1,6.09
500,1,4.19
500,1,5.09
500,1,8.03
500,1,5.81
500,1,5.53
600,1,8.97
600,1,5.34
600,1,5.88
600,1,6.63
600,1,5.34
600,1,5.65
600,1,5.63
600,1,5.84
600,1,5.09
600,1,5.16
100,2,5.38
100,2,5.13
100,2,5.19
100,2,5.22
100,2,5.78
100,2,5.59
100,2,7.78
100,2,5.54
100,2,9.44
100,2,5.66
200,2,5.94
200,2,10.5
200,2,6.22
200,2,5.16
200,2,5.31
200,2,4.81
200,2,5.28
200,2,5.59
200,2,5.25
200,2,4.91
300,2,8.28
300,2,5.66
300,2,4.53
300,2,6
300,2,11.5
300,2,7.03
300,2,4.91
300,2,5.16
300,2,5.91
300,2,5.5
400,2,4.72
400,2,8.31
400,2,5.91
400,2,7.16
400,2,8.28
400,2,6.25
400,2,4.91
400,2,9.03
400,2,5.38
400,2,5.41
500,2,5.19
500,2,5.19
500,2,9.28
500,2,5.16
500,2,5.56
500,2,5.22
500,2,5.34
500,2,5.41
500,2,10.25
500,2,6.47
600,2,5.44
600,2,5.72
600,2,5.16
600,2,8.63
600,2,7.59
600,2,5.06
600,2,12.41
600,2,8.09
600,2,4.97
600,2,5.25
100,3,9.56
100,3,11.34
100,3,6.38
100,3,5.63
100,3,5.31
100,3,8.09
100,3,5.88
100,3,5.47
100,3,4.72
100,3,4
200,3,4.91
200,3,4.47
200,3,5.28
200,3,5.25
200,3,6.16
200,3,5.34
200,3,5.63
200,3,4.69
200,3,6.09
200,3,5.25
300,3,5.97
300,3,5.84
300,3,4.5
300,3,5.63
300,3,4.69
300,3,8.28
300,3,5.97
300,3,5.31
300,3,7.97
300,3,5.03
400,3,7.47
400,3,5.78
400,3,9.97
400,3,5.56
400,3,7.75
400,3,5.28
400,3,8.47
400,3,7.78
400,3,5.66
400,3,5.44
500,3,6.03
500,3,5.75
500,3,5.5
500,3,9.47
500,3,5.38
500,3,5.72
500,3,5.88
500,3,5.28
500,3,9.47
500,3,9.75
600,3,6.53
600,3,5.91
600,3,5.69
600,3,6.13
600,3,8.88
600,3,9.81
600,3,6.66
600,3,4.5
600,3,5.84
600,3,4.94
100,4,6.78
100,4,6.19
100,4,5.06
100,4,6.6
100,4,12.2
100,4,15.09
100,4,5.75
100,4,10.91
100,4,5.47
100,4,6.16
200,4,5.94
200,4,6.6
200,4,6.38
200,4,5.44
200,4,4.66
200,4,6.41
200,4,6.5
200,4,4.69
200,4,8.84
200,4,4.91
300,4,6.25
300,4,12.63
300,4,5.03
300,4,5.6
300,4,5.06
300,4,9.44
300,4,6.25
300,4,5.06
300,4,5.56
300,4,5.13
400,4,5
400,4,5.5
400,4,4.34
400,4,6.34
400,4,4.75
400,4,6.69
400,4,5.75
400,4,6.34
400,4,4.81
400,4,5.5
500,4,10.69
500,4,5.41
500,4,5.81
500,4,6
500,4,5.31
500,4,4.75
500,4,9.03
500,4,4.28
500,4,3.84
500,4,4.53
600,4,6.16
600,4,3.59
600,4,3.94
600,4,4.13
600,4,4.72
600,4,3.91
600,4,4.44
600,4,3.41
600,4,3.38
600,4,4
100,5,4.41
100,5,4.13
100,5,13.22
100,5,9.91
100,5,3.97
100,5,5
100,5,3.19
100,5,3.66
100,5,4.19
100,5,4.09
200,5,4.13
200,5,4.09
200,5,4.38
200,5,4.41
200,5,9.94
200,5,3.63
200,5,4.69
200,5,3.25
200,5,3.5
200,5,9.47
300,5,4.28
300,5,4.16
300,5,5.06
300,5,4.34
300,5,4
300,5,4.5
300,5,3.91
300,5,5.16
300,5,3.66
300,5,4.78
400,5,4.91
400,5,4.31
400,5,4.26
400,5,4.31
400,5,7.13
400,5,4
400,5,5.25
400,5,4.28
400,5,3.66
400,5,5.84
500,5,12.88
500,5,3.81
500,5,4.38
500,5,9.34
500,5,3.75
500,5,6.31
500,5,4.88
500,5,12.91
500,5,3.53
500,5,4.28
600,5,4.84
600,5,4.59
600,5,9.75
600,5,4.91
600,5,3.69
600,5,5.07
600,5,4.84
600,5,4.53
600,5,4.56
600,5,5
100,6,4.16
100,6,4.28
100,6,6.63
100,6,4.25
100,6,4.5
100,6,5.41
100,6,7.41
100,6,3.88
100,6,4.59
100,6,5.34
200,6,3.94
200,6,4.84
200,6,4.47
200,6,4.28
200,6,4.22
200,6,4.53
200,6,7.94
200,6,3.91
200,6,4.25
200,6,4.03
300,6,5.19
300,6,3.78
300,6,4.88
300,6,4.09
300,6,3.75
300,6,4.28
300,6,3.53
300,6,4.13
300,6,5.53
300,6,4.19
400,6,5.03
400,6,4
400,6,7.31
400,6,4.09
400,6,3.88
400,6,4.34
400,6,4.5
400,6,5.28
400,6,4.63
400,6,3.41
500,6,5.81
500,6,7.16
500,6,6.25
500,6,5.97
500,6,7.41
500,6,5.69
500,6,7.5
500,6,6.81
500,6,6
500,6,6.25
600,6,6.19
600,6,5.72
600,6,5.44
600,6,5.44
600,6,5.81
600,6,5.97
600,6,5.78
600,6,6.13
600,6,6.03
600,6,5.69